year,gattwto,co2perc,rgdpch,areap,polity
1995,0,2.653054,2.817,7.750539,-7
1995,1,0.7412935,1.919,23.5068,-6
1995,1,0.3118603,1.83,35.30572,-4
1995,1,0.481466,1.641,133.3463,5
1995,1,1.834241,5.705,26.93864,7
1995,1,1.550741,5.486,15.31953,10
1995,1,2.642649,5.213,10.0791,-7
1995,1,7.063029,16.475,12.62074,10
1995,1,10.84588,14.316,7.633724,10
1995,1,10.4951,23.801,8.238332,10
1995,1,1.504385,3.841,6.229068,5
1995,0,3.246882,4.586,84.88631,-3
1995,0,1.974913,3.816,24.15707,9
1995,1,1.575873,3.794,17.10983,-3
1995,1,5.906786,15.288,12.73757,10
1995,0,11.08086,7.818,30.40768,6
1995,0,0.062492,0.583,19.47639,1
1995,1,9.98706,19.289,59.63391,10
1995,1,0.9275818,5.388,23.72727,5
1995,1,5.849117,20.552,9.461807,9
1995,1,3.226867,7.981,234.6721,-4
1995,1,9.25059,19.512,4.122445,10
1995,1,0.2369019,1.388,13.97013,-1
1995,1,0.1639964,2.777,37.30238,-1
1995,1,0.1942498,1.215,9.0009,-7
1995,1,0.2159027,0.926,25.89319,5
1995,0,0.32975,1.377,70.30075,-5
1995,1,7.294368,12.634,12.51195,10
1995,1,0.6768331,4,10.86909,3
1995,1,1.125663,2.906,237.1687,6
1995,1,0.6506583,2.187,19.78953,6
1995,0,3.56273,7.309,12.10923,-5
1995,1,0.0889369,1.754,3.844866,7
1995,1,5.461975,9.276,9.026393,10
1995,1,1.526641,3.655,9.339145,-7
1995,1,0.9778087,2.066,3.199187,9
1995,1,8.989375,17.297,19.12549,10
1995,0,4.311219,5.099,27.75045,-6
1995,1,6.726492,20.804,374.0672,10
1995,1,8.353526,16.421,3.666366,9
1995,1,7.167039,20.148,5.14055,10
1995,1,3.588319,4.024,4.294211,9
1995,0,3.172253,4.504,21.19905,-2
1995,1,8.98248,22.74,3.001618,10
1995,0,13.3324,5.969,169.1336,-4
1995,1,0.2504159,1.319,20.83223,-5
1995,0,1.209967,3.139,43.9743,5
1995,0,0.0497107,1.361,16.50491,1
1995,1,8.302976,13.773,2.194244,6
1995,1,0.3250524,3.332,3.574426,5
1995,0,3.98751,6.761,17.55047,10
1995,1,22.61929,34.808,6.304878,10
1995,0,3.703339,6.238,25.6713,8
1995,1,1.104422,3.685,16.91427,-7
1995,0,2.492763,2.607,7.766767,7
1995,1,0.0845714,0.851,43.72481,9
1995,1,3.906224,7.429,20.94125,4
1995,1,0.0479444,0.899,125.728,7
1995,1,0.0569879,0.968,49.56321,6
1995,1,1.348637,1.399,440.3263,-6
1995,1,1.329055,11.596,1.657754,10
1995,1,0.0743569,0.702,12.14308,7
1995,1,5.304478,8.872,15.94129,3
1995,1,0.1237816,0.88,138.4372,8
1995,1,0.8152652,0.971,8.185225,-6
1995,1,0.6172343,2.219,26.8301,8
1995,1,8.790997,21.074,2.194049,10
1995,1,16.61741,24.955,70.37386,10
1995,0,0.0713833,1.37,6.430989,5
1995,1,7.639115,16.265,73.48742,10
1995,1,0.6570686,2.015,6.299326,8
1995,0,2.620905,5.716,28.88256,9
1995,1,1.283068,4.598,54.39402,1
1995,1,0.8703873,3.21,4.26943,8
1995,1,0.5765923,3.568,105.2918,10
1995,1,8.760347,7.216,7.890018,9
1995,1,5.230805,13.622,9.262617,10
1995,1,0.7862262,5.605,82.2908,7
1995,1,5.338896,5.014,10.15564,5
1995,0,12.26769,7.11,115.4306,4
1995,1,0.0767187,0.885,3.898438,-6
1995,1,0.3685154,1.519,23.11284,-1
1995,1,21.31904,27.02,0.2042183,-2
1995,1,0.0982927,0.962,15.88027,-7
1995,1,0.9163193,4.652,3.654966,7
1995,1,7.133533,9.4,9.196549,7
1995,1,5.04936,21.272,46.6108,10
1995,0,3.261302,3.982,13.0428,-9
1995,1,0.0147798,0.981,187.7441,-4
1995,1,0.1809732,0.906,13.23358,-2
1995,1,2.946757,7.074,8.600697,9
1995,1,13.29518,8.674,4.064976,9
1995,1,1.703372,5.669,17.34316,-3
1995,1,2.691534,6.539,12.69723,8
1995,1,0.0823113,0.524,29.88734,-1
1995,1,0.0544762,0.886,10.41058,-4
1995,0,8.503827,5.018,11.71528,6
1995,1,1.689322,8.922,54.32256,10
1995,1,20.80172,28.253,34.44135,10
1995,0,4.339552,2.612,19.63573,-9
1995,1,8.251383,6.749,40.37951,8
1995,0,0.4287107,1.653,4.458208,-7
1995,1,8.274835,7.292,31.21268,9
1995,1,0.2676615,0.869,82.48553,6
1995,1,0.8841341,2.737,35.4718,-6
